ISO,COUNTRY,USG_DFSCORE,USG_PRESENCE,USG_PRESENCE_SOURCE,USG_TROOP_NUMBERS,USG_TROOP_NUMBERS_SOURCE,USG_COST,USG_COST_SOURCE,USG_TROOP_CASUALTIES,USG_TROOP_CASUALTIES_SOURCE,USG_ADVERSARY_CASUALTIES,USG_ADVERSARY_CASUALTIES_SOURCE,USG_CIVILIAN_CASUALTIES,USG_CIVILIAN_CASUALTIES_SOURCE,BIJ_DFSCORE,BIJ_PRESENCE,BIJ_PRESENCE_SOURCE,BIJ_TROOP_NUMBERS,BIJ_TROOP_NUMBERS_SOURCE,BIJ_COST,BIJ_COST_SOURCE,BIJ_TROOP_CASUALTIES,BIJ_TROOP_CASUALTIES_SOURCE,BIJ_ADVERSARY_CASUALTIES,BIJ_ADVERSARY_CASUALTIES_SOURCE,BIJ_CIVILIAN_CASUALTIES,BIJ_CIVILIAN_CASUALTIES_SOURCE,NEW_AMERICA_DFSCORE,NEW_AMERICA_PRESENCE,NEW_AMERICA_PRESENCE_SOURCE,NEW_AMERICA_TROOP_NUMBERS,NEW_AMERICA_TROOP_NUMBERS_SOURCE,NEW_AMERICA_COST,NEW_AMERICA_COST_SOURCE,NEW_AMERICA_TROOP_CASUALTIES,NEW_AMERICA_TROOP_CASUALTIES_SOURCE,NEW_AMERICA_ADVERSARY_CASUALTIES,NEW_AMERICA_ADVERSARY_CASUALTIES_SOURCE,NEW_AMERICA_CIVILIAN_CASUALTIES,NEW_AMERICA_CIVILIAN_CASUALTIES_SOURCE,GENEVA_DFSCORE,GENEVA_PRESENCE,GENEVA_PRESENCE_SOURCE,GENEVA_TROOP_NUMBERS,GENEVA_TROOP_NUMBERS_SOURCE,GENEVA_COST,GENEVA_COST_SOURCE,GENEVA_TROOP_CASUALTIES,GENEVA_TROOP_CASUALTIES_SOURCE,GENEVA_ADVERSARY_CASUALTIES,GENEVA_ADVERSARY_CASUALTIES_SOURCE,GENEVA_CIVILIAN_CASUALTIES,GENEVA_CIVILIAN_CASUALTIES_SOURCE
LBR,Liberia,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LBY,Libya,,1,,7,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,1,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/airstrikes-and-civilian-casualties-libya/,,,,,,,127,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/airstrikes-and-civilian-casualties-libya/,2,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/airstrikes-and-civilian-casualties-libya/,,1,https://www.geneva-academy.ch/joomlatools-files/docman-files/The%20War%20Report%20Armed%20Conflicts%20in%202017.pdf,,,,,,,,,,
LCA,Saint Lucia,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LIE,Liechtenstein,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LKA,Sri Lanka,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LSO,Lesotho,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LTU,Lithuania,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LUX,Luxembourg,,1,,0,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
LVA,Latvia,,1,,6,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MAR,Morocco,,1,,14,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MCO,Monaco,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MDA,Moldova,,1,,1,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MDG,Madagascar,,1,,12,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MDV,Maldives,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MEX,Mexico,,1,,67,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MHL,Marshall Islands,,1,,19,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MKD,Macedonia,,1,,4,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MLI,Mali,,1,,11,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MLT,Malta,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MMR,Myanmar,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MNE,Montenegro,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MNG,Mongolia,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MOZ,Mozambique,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MRT,Mauritania,,1,,4,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MUS,Mauritius,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MWI,Malawi,,1,,9,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
MYS,Malaysia,,1,,13,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NAM,Namibia,,1,,9,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NER,Niger,,1,,8,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NGA,Nigeria,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NIC,Nicaragua,,1,,17,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NLD,Netherlands,,1,,415,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NOR,Norway,,1,,356,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NPL,Nepal,,1,,4,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NRU,Nauru,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
NZL,New Zealand,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
OMN,Oman,,1,,16,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
PAK,Pakistan,,1,,34,DOD Defense Manpower Center,,,,,,,,,,1,https://www.thebureauinvestigates.com/projects/drone-war/pakistan,,,,,,,,,2,https://docs.google.com/spreadsheets/d/1NAfjFonM-Tn7fziqiv33HlGt09wgLZDSCP-BQaux51w/edit#gid=694046452,,1,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/pakistan/,,,,,,,48,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/pakistan/,2,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/pakistan/,,0,,,,,,,,,,,
PAN,Panama,,1,,42,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
PER,Peru,,1,,54,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
PHL,Philippines,,1,,305,DOD Defense Manpower Center,"32,400,000***",,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,1,https://www.geneva-academy.ch/joomlatools-files/docman-files/The%20War%20Report%20Armed%20Conflicts%20in%202017.pdf,,,,,,,,,,
PLW,Palau,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
PNG,Papua New Guinea,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
POL,Poland,,1,,150,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
PRK,North Korea,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
PR1,Portugal,,1,,238,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
PRY,Paraguay,,1,,12,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
QAT,Qatar,,1,,837,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
ROU,Romania,,1,,415,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
RUS,Russia,,1,,6,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
RWA,Rwanda,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SAU,Saudi Arabia,,1,,321,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SDN,Sudan,,1,,19,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SEN,Senegal,,1,,21,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SGP,Singapore,,1,,209,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SLB,Solomon Islands,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SLE,Sierra Leone,,1,,4,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SLV,El Salvador,,1,,60,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SMR,San Marino,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SOM,Somalia,,1,,70,DOD Defense Manpower Center,,,,,,,,,,1,https://www.thebureauinvestigates.com/projects/drone-war/somalia,,,,,,,,,10,https://docs.google.com/spreadsheets/d/1-LT5TVBMy1Rj2WH30xQG9nqr8-RXFVvzJE_47NlpeSY/edit#gid=0,,1,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/somalia/,,,,,,,357,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/somalia/,0,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/somalia/,,1,https://www.geneva-academy.ch/joomlatools-files/docman-files/The%20War%20Report%20Armed%20Conflicts%20in%202017.pdf,,,,,,,,,,
SRB,Serbia,,1,,7,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SSD,South Sudan,,1,,17,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
STP,São Tomé and Príncipe,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SUR,Suriname,,1,,3,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SVK,Slovakia,,1,,3,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SVN,Slovenia,,1,,2,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SWE,Sweden,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SWZ,Eswatini,,1,,6,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SYC,Seychelles,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SYR,Syrian Arab Republic,,1,,1720,DOD Defense Manpower Center,,,3,https://dcas.dmdc.osd.mil/dcas/pages/report_oir_namesalp.xhtml,,,23,http://www.inherentresolve.mil/News/News-Releases/,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,1,https://www.geneva-academy.ch/joomlatools-files/docman-files/The%20War%20Report%20Armed%20Conflicts%20in%202017.pdf,,,,,,,,,,
TCD,Chad,,1,,6,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TGO,Togo,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
THA,Thailand,,1,,303,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TJK,Tajikistan,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TKM,Turkmenistan,,1,,3,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TLS,Timor-Leste,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TON,Tonga,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TTO,Trinidad and Tobago,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TUN,Tunisia,,1,,36,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TUR,Turkey,,1,,1676,DOD Defense Manpower Center,,,1,https://dcas.dmdc.osd.mil/dcas/pages/report_oir_namesalp.xhtml,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TUV,Tuvalu,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
TZA,Tanzania,,1,,16,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
UGA,Uganda,,1,,48,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
UKR,Ukraine,,1,,18,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
URY,Uruguay,,1,,15,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
USA,United States of America,,1,,1965505,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
UZB,Uzbekistan,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
VEN,Venezuela,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
VNM,Vietnam,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
VUT,Vanuatu,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
WSM,Samoa,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
YEM,Yemen,,1,,7,DOD Defense Manpower Center,,,1,https://dcas.dmdc.osd.mil/dcas/pages/report_oir_namesalp.xhtml,,,,,,1,https://www.thebureauinvestigates.com/projects/drone-war/yemen,,,,,,,,,10,https://docs.google.com/spreadsheets/d/1lb1hEYJ_omI8lSe33izwS2a2lbiygs0hTp2Al_Kz5KQ/edit#gid=323032473,,1,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/us-targeted-killing-program-yemen/,,,,,,,228,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/us-targeted-killing-program-yemen/,33,https://www.newamerica.org/in-depth/americas-counterterrorism-wars/us-targeted-killing-program-yemen/,,1,https://www.geneva-academy.ch/joomlatools-files/docman-files/The%20War%20Report%20Armed%20Conflicts%20in%202017.pdf,,,,,,,,,,
ZAF,South Africa,,1,,49,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
ZMB,Zambia,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
ZWE,Zimbabwe,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,